"AROKATO";"nom";"idreg";"pays";"lat";"long";"Est-ouest";"Capitale";"hydrocarbures";"date creation";"typharris1963";"NMonopoleSnyder";"1959y";"1970y";"1979y";"1989y";"2002y";"2010y";
"AUA23114";"Tcherkasi";"UKR25";"Ukraine";49,43;32,07;"O";1;0;;"1B3";;84.822;158.393;228.197;290.34;294.731;287.713;
"AUA25115";"Tchernigiv";"UKR27";"Ukraine";51,5;31,3;"O";1;0;;"1B3";;89.585;158.873;238.141;296.347;304.405;297.402;
"AR30401";"Petropavlovsk-Kamtchatski";"RUS23";"Russie";53,01666667;158,65;"E";1;0;;"1B3";;85.6;163.403;225.797;280.687;198.028;179.526;
"AR83401";"Naltchik";"RUS19";"Russie";43,48333333;43,61666667;"O";1;0;;"1B3";;100.7;164.7;230.8;262.7;308.749;271.774;
"AAR08102";"Gyoumri";"ARM00";"Armenie";40,79;43,85;"O";1;0;;"3A1";;108.446;164.966;206.613;122.587;150.41;146.3;
"AUA16108";"Krementchouk";"UKR18";"Ukraine";49,07;33,42;"O";0;0;;"3A1";;92.81;166.083;209.616;236.495;233.239;227.611;
"AUA18113";"Soumi";"UKR20";"Ukraine";50,92;34,78;"O";1;0;;"1B3";;98.015;166.467;228.174;291.264;290.984;272.326;
"AR80439";"salavat";"RUS07";"Russie";53,36666667;55,93333333;"E";0;0;;"3B2";;107.3;168.1;194.2;219.5;228.795;222.327;
"AR75442";"miass";"RUS66";"Russie";55;60,1;"E";0;1;;"3A1";;129.9;168.8;196;217.9;205.564;195.217;
"AR65436";"kamenskural";"RUS63";"Russie";56,4;61,93333333;"E";0;1;;"3A1";;141;169.3;187.4;207.8;186.153;174.71;
"AR88401";"Iochkar-Ola";"RUS38";"Russie";56,63333333;47,86666667;"O";1;0;;"1B3";;89.845;169.532;211.084;255.191;273.329;265.528;
"AUA04113";"Nikopol ";"UKR05";"Ukraine";47,57;34,4;"O";0;0;;"3B1";;117.414;171.309;195.982;211.999;184.86;172.617;
"AUA06104";"Zhitomir";"UKR07";"Ukraine";50,25;28,67;"O";1;0;;"1B3";;116.246;172.235;243.764;292.097;283.277;271.714;
"AR60427";"novcherkask";"RUS55";"Russie";47,43333333;40,08333333;"O";0;0;;"6A";;123.139;172.668;196.717;201.173;184.47;169.039;
"AKA15103";"Petropavlovsk";"KAZ15";"Kazakhstan";54,88;69,16;"E";1;0;;"1B3";;131.453;172.911;206.559;241.36;196.725;201.446;
"AUZ05104";"Namangan";"OUZ00";"Ouzbekistan";41;71,67;"E";1;1;;"2A";;123.467;175.267;257.046;414.1;522.579;603.126;
"AR65480";"pervouralsk";"RUS63";"Russie";56,91666667;59,95;"E";0;1;;"3A1";;145.3;175.7;192.1;208;194.944;186.445;
